"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"MASSERIA MADONNA DELL'ARCO","Alloggi agrituristici","","20","8","21","VIA MADONNA DELL'ARCO ","","74015","073013","Martina Franca","TA","","","0804805135","0804805135","www.masseriamadonnadellarco.it","info@masseriamadonnadellarco.it","01/01/2015-31/12/2015","Ristorante-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura","camera-doppia-bagno (60-70)#camera-tripla-bagno (100-120)#mezza-pensione-bagno (100-110)#pasto-cena (-30)#piazzola (15-15)#ua-bilocale-giorno (130-150)","camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#piazzola (0-0)#ua-bilocale-giorno (0-0)","","","","",""
"CAMPO DEI MESSAPI","Alberghi","3 stelle","82","82","264","VIA BORRACO","San Pietro in Bevangna","74024","073012","Manduria","TA","40.304177325855704","17.648329305371135","0999729820","0999729812","www.campodeimessapi.it","info@campodeimessapi.it","01/01/2015-31/05/2015","Ristorante-Bar-Deposito bagagli-Cassaforte / cassette di sicurezza-Quotidiani-Accesso animali piccola taglia","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar","pasto-cena (12-26)#pasto-pranzo (15-28)#pensione-completa-bagno (68-112)#supplemento-aria-condizionata (6-15)#ua-bilocale (170-234)#ua-monolocale (85-112)","pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (62-92)#supplemento-aria-condizionata (-)#ua-bilocale (136-188)#ua-monolocale (68-95)","http://www.agenziapugliapromozione.it/portal/documents/ddl/943518/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/943518/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/943518/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/943518/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/943518/fileFoto5"
"DEI BIZANTINI","Alberghi","3 stelle","36","36","70","VIA BORRACO","San Pietro in Bevagna","74024","073012","Manduria","TA","40.30352275968242","17.646526860913127","0999729823","0999729812","www.hoteldeibizantini.it","info@hoteldeibizantini.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Ascensore-Cassaforte / cassette di sicurezza-Cucina in uso comune-Quotidiani-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (95-122)#camera-singola-bagno (50-78)#doppia-uso-singola-bagno (60-92)#mezza-pensione-bagno (68-95)#pasto-cena (12-26)#pasto-pranzo (15-28)#pensione-completa-bagno (73-112)#supplemento-aria-condizionata (6-15)#supplemento-servizio-incamera (2-6)","camera-doppia-bagno (78-105)#camera-singola-bagno (46-60)#doppia-uso-singola-bagno (56-70)#mezza-pensione-bagno (62-78)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (67-83)#supplemento-aria-condizionata (-)#supplemento-servizio-incamera (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/936404/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/936404/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/936404/fileFoto3","",""
"PARK HOTEL S.MICHELE","Alberghi","4 stelle","81","81","166","VIALE CARELLA","","","073013","Martina Franca","TA","","","080 4807053","0804808895","www.parkhotelsanmichele.it","info@parkhotelsanmichele.it","","","","camera-doppia-bagno (109-129)#camera-singola-bagno (79-90)#mezza-pensione-bagno (73-100)#pasto-cena (45-45)#pasto-pranzo (45-45)#pensione-completa-bagno (90-120)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#mezza-pensione-bagno (-)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (-)#servizio-colazione (-)","","","","",""
"VILLA MARIA","Alberghi","4 stelle","12","12","23","Via per Martina Franca","","74012","073004","Crispiano","TA","40.61052515975988","17.24248577153321","099616300","","www.villamariacrispiano.it","info@villamariacrispiano.it","01/01/2015-31/12/2015","Ristorante-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Camere / struttura per ospiti disabili","Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Telefono-Aria condizionata indipendente-Rscaldamento centralizzato","camera-doppia-bagno (80-95)#camera-singola-bagno (60-70)#doppia-uso-singola-bagno (60-70)#mezza-pensione-bagno (80-85)#pasto-cena (20-20)#pasto-pranzo (20-20)#pensione-completa-bagno (90-95)","camera-doppia-bagno (75-90)#camera-singola-bagno (55-65)#doppia-uso-singola-bagno (55-65)#mezza-pensione-bagno (75-80)#pasto-cena (0-0)#pasto-pranzo (0-0)#pensione-completa-bagno (85-90)","http://www.agenziapugliapromozione.it/portal/documents/ddl/174084/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/174084/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/174084/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/174084/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/174084/fileFoto5"
"GABBIANO HOTEL","Alberghi","4 stelle","89","105","211","VIALE DEI MICENEI","","74026","073022","Pulsano","TA","","","0995336061","0995314753","www.gabbianohotel.it","info@gabbianohotel.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Camere / struttura per ospiti disabili","Aria condizionata centralizzata-Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (140-280)#camera-quadrupla-bagno (250-490)#camera-singola-bagno (90-160)#camera-tripla-bagno (195-390)#doppia-uso-singola-bagno (90-220)#mezza-pensione-bagno (90-160)#pasto-cena (30-50)#pasto-pranzo (25-40)#pensione-completa-bagno (105-160)#supplemento-servizio-incamera (10-15)#supplemento-tessera-club (45-50)","camera-doppia-bagno (80-160)#camera-quadrupla-bagno (130-260)#camera-singola-bagno (60-100)#camera-tripla-bagno (110-220)#doppia-uso-singola-bagno (60-90)#mezza-pensione-bagno (60-90)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (75-110)#supplemento-servizio-incamera (-)#supplemento-tessera-club (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/260731/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/260731/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/260731/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/260731/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/260731/fileFoto5"
"DANIELA HOTEL RESIDENCE","Alberghi","4 stelle","53","53","210","VIA SALVO D'ACQUISTO","","74122","073027","Taranto","TA","","","0997775810","0997776301","www.hoteldaniela.com","info@hoteldaniela.com","01/01/2015-31/12/2015","Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Telefono-Angolo cottura","camera-quadrupla-bagno (220-220)#ua-bilocale (220-220)#ua-monolocale (100-140)","camera-quadrupla-bagno (180-180)#ua-bilocale (190-190)#ua-monolocale (80-120)","http://www.agenziapugliapromozione.it/portal/documents/ddl/158072/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/158072/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/158072/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/158072/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/158072/fileFoto5"
"VECCHIA MOTTOLA","Case e appartamenti","","13","13","52","VIA UMBERTO I","","74017","073019","Mottola","TA","","","0998866424","0998864514","www.vecchiamottola.com","info@vecchiamottola.com","01/01/2015-31/12/2015","Camere fumatori-Deposito bagagli-Bagno privato-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura","asciugamani (-10)#biancheria (-10)#lenzuola (-5)#supplemento-pulizia-extra (10-30)#ua-bilocale-due-sett (450-1600)#ua-bilocale-mese (450-3100)#ua-monolocale-due-sett (450-1600)#ua-monolocale-mese (800-3100)#ua-monolocale-sett (240-900)","asciugamani (-)#biancheria (-)#lenzuola (-)#supplemento-pulizia-extra (-)#ua-bilocale-due-sett (0-0)#ua-bilocale-mese (0-0)#ua-monolocale-due-sett (0-0)#ua-monolocale-mese (0-0)#ua-monolocale-sett (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1006878/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/1006878/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/1006878/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/1006878/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/1006878/fileFoto5"
"ASTOR","Alberghi","3 stelle","15","15","20","VIALE VIRGILIO","","74123","073027","Taranto","TA","","","0994595910","","www.hotelastor.org","info@hotelastor.org","","Bar-Reception 24h-Camere fumatori-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura","camera-doppia-bagno (60-90)#camera-singola-bagno (40-70)#mezza-pensione-bagno (55-85)#pensione-completa-bagno (70-100)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (-)#mezza-pensione-bagno (-)#pensione-completa-bagno (-)#servizio-colazione (-)","","","","",""
"CASA ISABELLA EXCLUSIVE HOTEL","Alberghi","4 stelle","26","26","56","PALAZZO DUCALE","","74017","073019","Mottola","TA","","","0998833224-   0998866325","0998833256","www.casaisabella.it","direzione@casaisabella.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (74-124)#camera-singola-bagno (69-114)#mezza-pensione-bagno (35-35)#pasto-cena (35-45)#pasto-pranzo (35-45)#pensione-completa-bagno (70-70)","camera-doppia-bagno (74-99)#camera-singola-bagno (69-89)#mezza-pensione-bagno (35-35)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (70-70)","http://www.agenziapugliapromozione.it/portal/documents/ddl/285222/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/285222/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/285222/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/285222/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/285222/fileFoto5"
"PINETA","Alberghi","1 stella","8","9","15","VIA DELLA CANTINA SPERIMENTALE","","71040","071026","Isole Tremiti","FG","","","0882463202","","www.albergolapineta.info","info@albergolapineta.info","01/04/2015-30/09/2015","Ristorante-Deposito bagagli-Accesso animali piccola taglia","Aria condizionata indipendente-Tv satellitare","camera-doppia-bagno (100-130)#camera-quadrupla-bagno (140-200)#camera-singola-bagno (100-130)#mezza-pensione-bagno (55-85)#supplemento-aria-condizionata (6-6)","camera-doppia-bagno (60-90)#camera-quadrupla-bagno (100-160)#camera-singola-bagno (60-90)#mezza-pensione-bagno (45-55)#supplemento-aria-condizionata (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/130428/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/130428/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/130428/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/130428/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/130428/fileFoto5"
"ROSSANA","Alberghi","1 stella","8","9","12","VIA FEDERICO II","","71040","071026","Isole Tremiti","FG","","","0882463298","0882463298","www.isoletremitialbergorossana.it","info@isoletremitialbergorossana.it","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Cassaforte / cassette di sicurezza-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (140-220)#camera-singola-bagno (110-140)#camera-tripla-bagno (150-230)#pasto-cena (25-50)#pasto-pranzo (25-50)","camera-doppia-bagno (100-140)#camera-singola-bagno (60-120)#camera-tripla-bagno (120-160)#pasto-cena (-)#pasto-pranzo (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/878117/fileFoto1","","","",""
"LESINA","Alberghi","3 stelle","33","33","54"," VIALE TORRE FORTORE","","71010","071027","Lesina","FG","41.9135149","15.333264999999983","0882995170","0882995814","www.hotellesina.it","hotellesina@tiscali.it","01/01/2015-31/12/2015","Ristorante-Bar-Ascensore-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Telefono","camera-doppia-bagno (75-80)#camera-singola-bagno (45-50)#mezza-pensione-bagno (70-80)#pasto-cena (25-25)#pasto-pranzo (30-30)#pensione-completa-bagno (80-90)","camera-doppia-bagno (65-70)#camera-singola-bagno (35-40)#mezza-pensione-bagno (60-70)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (70-80)","http://www.agenziapugliapromozione.it/portal/documents/ddl/947418/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/947418/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/947418/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/947418/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/947418/fileFoto5"
"BAIA DELLE ZAGARE","Alberghi","4 stelle","143","143","338","LIT. MATTINATA-VIESTE ","","71030","071031","Mattinata","FG","","","0884550155","0884550884","www.hotelbaiadellezagare.it","info@hotelbaiadellezagare.it","01/05/2015-30/09/2015","Ristorante-Bar-Punto ristoro-Reception 24h-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Accesso animali piccola taglia","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Telefono","camera-doppia-bagno (89-490)#camera-quadrupla-bagno (89-490)#camera-tripla-bagno (89-490)#doppia-uso-singola-bagno (89-490)#mezza-pensione-bagno (89-490)#pasto-cena (30-40)#pasto-pranzo (30-40)#pensione-completa-bagno (89-490)#supplemento-servizio-incamera (10-10)#supplemento-vista-panoramica (30-30)","camera-doppia-bagno (89-490)#camera-quadrupla-bagno (89-490)#camera-tripla-bagno (89-490)#doppia-uso-singola-bagno (89-490)#mezza-pensione-bagno (89-490)#pasto-cena (0-0)#pasto-pranzo (0-0)#pensione-completa-bagno (89-490)#supplemento-servizio-incamera (0-0)#supplemento-vista-panoramica (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/953417/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/953417/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/953417/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/953417/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/953417/fileFoto5"
"APENESTE","Alberghi","3 stelle","26","26","52","PIAZZA TURATI","","71030","071031","Mattinata","FG","","","0884550743  0884550744","","www.hotelapeneste.it","info@hotelapeneste.it","01/01/2015-31/12/2015","Ristorante-Bar-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (39-239)#doppia-uso-singola-bagno (34-199)#mezza-pensione-bagno (80-278)#pensione-completa-bagno (99-299)","camera-doppia-bagno (39-239)#doppia-uso-singola-bagno (34-199)#mezza-pensione-bagno (80-278)#pensione-completa-bagno (99-299)","","","","",""
"LE QUERCE","Alberghi","1 stella","13","14","25","S.S. 90 KM 54","","71027","071035","Orsara di Puglia","FG","","","0881961256    0881961844","","","le_querce@virgilio.it","01/01/2015-31/12/2015","Ristorante-Bar-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Riscaldamento","camera-doppia-bagno (65-65)#camera-singola-bagno (40-40)#mezza-pensione-bagno (40-40)#pasto-cena (23-23)#pasto-colazione (5-5)#pasto-pranzo (23-23)#pensione-completa-bagno (60-60)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"D'AMATO","Alberghi","4 stelle","81","81","203","S.S. 89","","71010","071038","Peschici","FG","","","0884963415-6-7","0884963391","www.hoteldamato.it","info@hoteldamato.it","15/05/2015-15/10/2015","Ristorante-Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Telefono","camera-doppia-bagno (110-140)#camera-tripla-bagno (140-170)#mezza-pensione-bagno (90-110)#pasto-cena (25-30)#pasto-pranzo (25-30)#pensione-completa-bagno (110-130)#supplemento-vista-panoramica (10-20)","camera-doppia-bagno (80-90)#camera-tripla-bagno (100-110)#mezza-pensione-bagno (70-80)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (80-90)#supplemento-vista-panoramica (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/949289/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/949289/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/949289/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/949289/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/949289/fileFoto5"
"ELISA","Alberghi","3 stelle","43","44","66","VIA BORGO MARINA","","71010","071038","Peschici","FG","","","0884964012","0884962071","www.hotelelisa.it","info@hotelelisa.it","01/04/2015-30/09/2015","Ristorante-Bar-Reception 24h-Ascensore-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (120-150)#camera-singola-bagno (90-120)#camera-tripla-bagno (130-160)#doppia-uso-singola (90-120)#mezza-pensione-bagno (85-100)#pasto-cena (30-40)#pasto-pranzo (30-40)#pensione-completa-bagno (90-110)","camera-doppia-bagno (100-120)#camera-singola-bagno (80-90)#camera-tripla-bagno (110-130)#doppia-uso-singola (80-90)#mezza-pensione-bagno (60-70)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (70-80)","","","","",""
